货物出口到香港包括九龙或澳门寸仓火险责任扩展条款,_FIRE_RISK_EXTENSION_CLAUSEFOR
函数对象,_FUNCTION_OBJECT
硬编码的,_HARDCODED
康定翠雀,_TATSIENENSE
当且仅当,_IF_AND_ONLY_IF
须苞石竹,_BARBATUS
字面常数,_LITERAL_CONSTANT
海洋科学,_MARINE_SCIENCES
内存泄漏,_MEMORY_LEAK
固体力学,_SOLID_MECHANICS
光学工程,_OPTICAL_ENGINEERING
命名管道,_NAMED_PIPE
冶金工程,_METALLURGICAL_ENGINEERING
单选按钮,_RADIO_BUTTON
林业工程,_FORESTRY_ENGINEERING
巴西红果,_EUGENIA_UNIFLORA
集合配置,_ET_ACKING
基础医学,_BASIC_MEDICINE
八角金盘,_FATSIA_JAPONICA
临床医学,_CLINICAL_MEDCINE
急诊医学,_EMERGENCY_MEDICINE
海滩草莓,_CHILOENSIS
虚拟内存,_VIRTUAL_MEMORY
民族医学,_ETHNOMEDICINE
身份验证,_WINDOWS_AUTHENTICATIONWINDOW
垂枝银杏,_PENDULA
矮鼠曲草,_TRAVERSII
瓶刷子木,_GREYIA_SUTHERNLANDII
绣球百合,_KATHARINAE
正对舞伴,_PARTNER_IN_LINE
大苞萱草,_MIDDENDORFFII
双右翼转,_DOUBLE_NATURAL_SPIN
波叶玉簪,_UNDULATA
野战医院,_AMBULANCE
闭位剑式,_RIGHT_LUNGE
对应账户,_CORRESPONDING_ACCOUNTS
从属账户,_SECONDARY_ACCOUNTS
九三学社,_JIU_SAN_SOCIETY
酒瓶椰子,_HYOPHORBE_LAGENICAULIS
总后勤部,_GENERAL_LOGISTICS_DEPARTMENT
东海舰队,_EAST_CHINA_SEA_FLEET
多刺冬青,_AQUIFOLIUM
瓦氏凤仙,_WALLERANA
局部清查,_PARTIAL_CKECK
同时代的,_CONTEMPORARY
平行登记,_PARALLEL_RECORDING
科普学会,_POPULAR_SCIENCE_SOCIETY
香根鸢尾,_FLORENTINA
有影响的,_EFFECTIVE
政治上的,_POLITICAL
硝基安定,_NITRAZEPAM
简单分录,_SIMPLE_ENTRY
游戏的人,_PLAYER
应收账款,_ACCOUNTS_RECEIVABLE
卡比多巴,_CARBIDOPA
固定资产,_FIXED_ASSETS
货币资金,_CASH_AND_CASH_EQUIVALENTS
双香豆素,_DICOUMAROL
依诺沙星,_ENOXACIN
细叶百合,_LILIUM_PUMILUM
操作人员,_OPERATOR
地塞米松,_DEXAMETHASONE
折旧方法,_DEPRECIATION_METHOD
氟哌啶醇,_HALOPERIDOL
大吉利花,_LINANTHUS_GRANDIFLORUS
交沙霉素,_JOSAMYCIN
把看作是,_THINK_OFAS
长期负债,_LONGTERM_LIABILITY_OF_LONGTERM
普萘洛尔,_PROPRANOLOL
硝酸甘油,_NITROGLYCERINE_GLYCERYL
合伙企业,_PARTNERSHIP_ENTERPRISE
东莨菪碱,_SCOPOLAMINE
双嘧达莫,_DIPYRIDAMOLE_PERSANTIN
磺胺嘧啶,_SULFADIAZINE
盘叶忍冬,_LONICERA_TRAGOPHYLLA
维拉帕米,_VERAPAMIL
阿加尼亚,_AGANA
官方文件,_PAPER
安特卫普,_ANTWERP
混合合并,_CONGLOMERATION
巴尔的摩,_BALTIMORE
公允价值,_FAIR_VALUE
权益理论,_EQUITY_THEORY
附属公司,_ASSOCIATED_COMPANY
布里斯班,_BRISBANE
加拉加斯,_CARACAS
业主权论,_THE_PROPRIETORSHIP_THEORY
敦刻尔克,_DUNKIRK
中间汇率,_MIDDLE_RATE
喇叭水仙,_NARCISSUS_PSEUDONARCISSUS
三蕊水仙,_TRIANDRUS
纵向合并,_VERTICAL_INTEGRATION
三色幌菊,_DISCOIDALIS
哈密尔顿,_HAMILTON
令箭荷花,_NOPALXOCHIA_ACKERMANNII
狮子王球,_PAMPEANUS
浅蓝睡莲,_COERULEA
块茎睡莲,_TUBEROSA
极香罗勒,_GRATISSIMUM
销售成本,_COST_OF_GOODS_SOLD
拉普拉塔,_LA_PLATA
闲置成本,_IDLE_COST
成本核算,_COSTING
成本差异,_COST_VARIANCE
山酢浆草,_GRIFFITHII
曼彻斯特,_MANCHESTER
冰岛罂粟,_NUDICAULE
白花兜兰,_NIVEUM
企业财务,_BUSINESS_FINANCE
蒙罗维尔,_MONROVIA
毛鸡蛋果,_MOLLISSIMA
财务预测,_FINANCIAL_FORECAST
皱边红桑,_MARGINATA
一级市场,_SECURITY_PRIMARY_MARKET
纳霍德卡,_NAKHODKA
财务管理,_FINANCIAL_MANAGMENT
纽卡斯尔,_NEWCASTLE
农业会计,_ACCOUNTING_OF_AGZICULTURAL
爪叶乌头,_HEMSLEYANUM
帕果帕果,_PAGO_PAGO
会计职能,_FUNCTIONS_OF_ACCOUNTING
会计人员,_ACCOUNTING_PERSONNELS
会计假设,_ACCOUNTING_ASSUMPTION
会计对象,_ACCOUNTING_OBJECT
合并报表,_CONSOLIDATED_FIANCIAL
个别报表,_INDIVIDUAL_STATEMENTS
卡贝略港,_PUERTO_CABELLO
腊包尔港,_RABAUL
奖金珍视,_PRIZE
人造卫星,_SATELLITE
折磨拷打,_TORTURE
使多样化,_VARY
斗争作战,_BATTLE
存亡之际,_CRISIS
拨号盘拨,_DIAL
遇到遭遇,_ENCOUNTER
习惯用语,_PHRASE
残骸破坏,_WRECK
加上正的,_PLUS
书籍预定,_BOOK
重做重复,_REPEAT
珍宝珍视,_TREASURE
沙漠离弃,_DESERT
揭开揭发,_DISCLOSE
基督教徒,_CHRISTIAN
决定决心,_DECIDE
察觉发觉,_DETECTION
公文文件,_DOCUMENT
工作人员,_STAFF
允许进入,_ADMISSION
白昼日光,_DAYLIGHT
不见失踪,_DISAPPEAR
女服童装,_DRESS
坠落碰撞,_CRASH
可能的事,_POSSIBILITY
斜面倾斜,_SLOPE
弯身弯腰,_STOOP
小径跟踪,_TRAIL
中枢集中,_CENTRE
另外别的,_ELSE
曾经一次,_ONCE
谜使迷惑,_PUZZLE
伤使受伤,_WOUND
决心决心,_RESOLVE
脾气坏的,_SOUR
倾向倾向,_TREND
撤回撤退,_WITHDRAW
拒绝相信,_DENY
卸到岸上,_CIF_LANDED_CIF
复合索引,_COMPOSITE_INDEX
析构函数,_DESTRUCTOR
转义字符,_ESCAPE_CHARACTER
一般化的,_GENERIC
层次结构,_HIERARCHY
土木技师,_CIVILENGINEER
受控对象,_MANAGED_OBJECT
植物学家,_BOTANIST
考古学家,_ARCHAEOLOGIST
重新定义,_OVERRIDE
未来学家,_FUTUROLOGIST
女记事员,_OFFICEGIRL
巯基嘌呤,_MERCAPTOPURINE
积累堆积,_ACCUMULATE
成本偏差,_COST_VARIANCE
自由时差,_FREE_FLOAT_OR_FINISHTOFINISH
给穿衣服,_CLOTHE
争论辩论,_DEBATE
加深深化,_DEEPEN
鄙视蔑视,_DESPISE
厌恶憎恶,_DISGUST
饮喝饮料,_DRINK
小麦面粉,_WHOLEMEALFLOUR
红雀珊瑚,_PEDILANTHUS_TITHYMALOIDES
入睡睡着,_GO_TO_SLEEP
长柄赤车,_TSOONGII
灰白椒草,_INCANA
帮助帮忙,_HELP_SB_OUT
大花糙苏,_MEGALANTHA
若有的话,_IF_ANY
美白用　,_WHITE
光叶石楠,_GLABRA
政府机构,_GOVERNMENT_AGENCIES
中欧山松,_PINUS_MUGO_MUGO
混合技术,_HYBRID_TECHNOLOGY
模仿战略,_IMITATIVE_STRATEGY
中华花荵,_CHINENSES
多变稠李,_COMMUTATA
国际营销,_INTERNATIONAL_MARKETING
东京樱花,_PRUNUS_YEDOENSIS
核心利益,_KEY_BENEFITS
法律服务,_LEGAL_SERVICES
场所定价,_LOCATION_PRICING
欧洲火棘,_COCCINEA
制造过程,_MANUFACTURING_PROCESS
市场量度,_MARKET_DIMENSION
市场纳入,_MARKET_INCLUSION
市场研究,_MARKET_RESEARCH
保加利亚,_BULGARIA
营销审计,_MARKETING_AUDIT
科特迪瓦,_COTE_D_IVOIRE
大树杜鹃,_RHODODENDRON_GIGANTEUM
多米尼加,_DOMINICA
红金梅草,_RHODOHYPOXIS_BAURII
法罗群岛,_FAROE_ISLANDS
雀巢咖啡,_NESCAF
基里巴斯,_KIRIBATI
马来西亚,_MALAYSIA
抵消交易,_OFFSETS
毛里求斯,_MAURITIUS
机会成本,_OPPORTUNITY_COST
业绩测度,_PERFORMANCE_MEASURES
说服性的,_PERSUASIVE
地点效用,_PLACE_UTILITY
斯威士兰,_SWAZILAND
潜在市场,_POTENTIAL_MARKET
额外奖励,_PREMIUMS
津巴布韦,_ZIMBABWE
定价过程,_PRICESETTING_PROCESS
南京大学,_NANJING_UNIVERSITY
产品特征,_PRODUCT_FEATURES
兰州大学,_LANZHOU_UNIVERSITY
产品策略,_PRODUCT_POLICIES
产品用途,_PRODUCT_USAGE
采购合同,_PURCHASING_CONTRACT
一枝黄花,_SOLIDAGO_DECURRENS
暨南大学,_JINAN_UNIVERSITY
球穗花楸,_GLOMERULATA
白火焰花,_SPATHIPHYLLUM_CLEVELANDII
新疆大学,_XINGJIANG_UNIVERSITY
零售指数,_RETAIL_INDEX
劳斯莱斯,_ROLLSROYCE
花叶雪果,_LAEVIGATUS
销售分析,_SALES_ANALYSIS
丁香蒲桃,_AROMATICUM
评判模型,_SCORING_MODELS
细分标准,_SEGMENTATION_CRITERIA
大连大学,_DALIAN_UNIVERSITY
铁角凌霄,_TECOMARIA_CAPENSIS
服务组织,_SERVICE_ORGANIZATION
确定定额,_SETTING_QUOTAS
非耐用品,_SOFT_GOODS
西藏大学,_TIBET_UNIVERSITY
备用定位,_STANDBY_POSITIONING
南华大学,_NANHUA_UNIVERSITY
战略惯性,_STRATEGIC_INERTIA
把认为是,_TAKEFOR
战略重估,_STRATEGY_REASSESSMENT
利多卡因,_LIDOCAINE_XYLOCAINE
超级市场,_SUPERMARKETS
转换成本,_SWITCHING_COST
电话销售,_TELEMARKETING
蔓长春花,_VINCA_MAJOR
丽穗凤梨,_VRIESEA_SPLENDENS
处境较坏,_BE_WORSE_OFF
多花紫藤,_WISTERIA_FLORIBUNDA
不列颠的,_BRITISH
强有力的,_POWERFUL
邵阳学院,_SHAOYANG_COLLEGE
大吊竹草,_PURPUSII
肇庆学院,_ZHAOQING_COLLEGE
逐渐消失,_WEAR_OFF
寄售协议,_AGREEMENT_OF_CONSIGNMENT
氨酰心安,_ATENOLOL
银行费用,_BANKING_CHARGES
出票地点,_PLACE_OF_ISSUE
预付条款,_PAYMENT_IN_ADVANCE
单独海损,_PARTICULAR_AVERAGE
包装提要,_PACKING_SUMMARY
销售包装,_PACKAGING
赊帐交易,_OPEN_ACCOUNT_TRANSACTION
备装通知,_NOTICE_OF_READINESS
年幼的狗,_PUP
谈判招标,_NEGOTIATED_BIDDING
起码费率,_MINIMUM_RATE
酸性物质,_CID
总共共计,_IN_ALL
斑点认出,_SPOT
当地装箱,_LOCAL_VANNING
处境困难,_IN_DIFFICULTIES
录像磁带,_VIDEOTPE
书信电报,_LETTER_TELEGRAMME
风筝标志,_KITE_MARK
在实践中,_IN_PRACTICE
三十而立,_AT_MAN_SHOULD_BE_INDEPENDENT
知识产权,_INTELLECTUAL_PROPERTY
心照不宣,_HAVE_A_TACIT_UNDERSTANDING
呈的形状,_IN_THE_SHAPE_OF
依次轮流,_IN_TURN
民商法学,_SCIENCE_OF_LABOUR_LAW_AND
套期保植,_HEDGING
完全一样,_JUST_THE_SAME
成组提单,_GROUNDAGE_BILL_OF_LADING
共同海损,_GENERAL_AVERAGEGA
开始喜欢,_TAKE_TO
期货价格,_FORWARD_PRICE
包括平舱,_FOB_TRIMMEDFOBT_FOB
准备行动,_STAND_BY
风湿病学,_INTERNAL_MEDICINE_INCLUDING
尊敬敬仰,_LOOK_UP_TO_SB
约克大学,_YORK_UNIVERSITY
鲁汶大学,_UNIVERSIT_CATHOLIQUE_DE
躺下不干,_LIE_DOWN
拒付行为,_DISHONOR
坚持固守,_KEEP_TO
不再已不,_NO_LONGER
交叉许可,_CROSS_LICENSE
快邮收据,_COURIERS_RECEIPTS
更不必说,_NOT_TO_MENTION
一一个人,_ONE
既不也不,_NEITHERNOR
商业单据,_COMMERCIAL_DOCUMENTS
寄单证明,_CERTIFICATE_FOR_DISPATCH_OF
存档文件,_ARCHIVE_FILE
违反合同,_BREACH_OF_CONTRACT
三叶木通,_TRIFOLIATA
财务报告,_FINANCIAL_REPORT
萨尔瓦多,_SALVADOR
圣洛伦索,_SAN_LORENZO
圣地亚哥,_SANTIAGO
斯克基达,_SKIKDA
大阿米芹,_AMMI_MAJUS
黄鼠爪花,_ANIGOZANTHOS_VIRIDIS
维多利亚,_VICTORIA
趾叶花烛,_PEDATORADIATUM
公共关系,_PUBLIC_RELATIONSHIP
广告信息,_ADVERTISING_MESSAGE
苍蓝楤木,_NUDA
购买意图,_BUYING_INTENTION
现金牛类,_CASH_COWS
花叶芦竹,_VERSICOLOR
渠道权力,_CHANNEL_POWER
联合品牌,_COBRANDING
传播渠道,_COMMUNICATION_CHANNELS
酬金方案,_COMPENSATION_PLAN
桃叶珊瑚,_AUCUBA_CHINENSIS
需求情况,_CONDITIONS_OF_DEMAND
家庭市场,_HOUSEHOLD_MARKET
清凉维普,_COOL_WHIP
分销成本,_COSTS_OF_DISTRIBUTION
关键假设,_CRITICAL_ASSUMPTIONS
顾客需要,_CUSTOMER_NEED
哈佛大学,_HARVARD_UNIVERSITY
顾客偏好,_CUSTOMERS_PREFERENCES
交付时间,_DELIVERY_TIME
孔雀竹芋,_CALATHEA_MAKOYANA
放松管制,_DEREGULATION
东京大学,_UNIVERSITY_OF_TOKYO
差别反应,_DIFFERENT_RESPONSES
质量维度,_DIMENSIONS_OF_QUALITY
折扣商店,_DISCOUNT_STORES
每股收益,_EARNINGS_PER_SHARE
杜伦大学,_DURHAM_UNIVERSITY
情感诉求,_EMOTIONAL_APPEALS
经验曲线,_EXPERIENCE_CURVE
大矢车菊,_AMERICANA
固定成本,_FIXED_COSTS
日本扁柏,_CHAMAECYPARIS_OBTUSA
高丽大学,_KOREA_UNIVERSITY
犹他大学,_UNIVERSITY_OF_UTAH
装箱问题,_IN_ACKING
拉什大学,_RUSH_UNIVERSITY
肯特大学,_UNIVERSITY_OF_KENT
图库大学,_UNIVERSITY_OF_TURKU
数据字典,_DATA_DICTIONARY
汉阳大学,_HANYANG_UNIVERSITY
柳叶栒子,_COTONEASTER_SALICIFOLIUS
反编译器,_DISASSEMBLER
三叶菽麻,_GOETZEI
驱动程序,_DRIVER
云南苏铁,_SIAMENSIS
异常规范,_EXCEPTION_SPECIFICATION
胖客户端,_FAT_CLIENT
防火墙　,_FIREWALL
前置声明,_FORWARD_DECLARATION
函数模板,_FUNCTION_TEMPLATE
毛金雀儿,_HIRSUTUS
全局对象,_GLOBAL_OBJECT
中国溲疏,_DEUTZIA_IN_CHINA
增量更新,_INCREMENTAL_UPDATE
少女石竹,_DELTOIDES
理论物理,_THEORETICAL_PHYSICS
工程安排,_OB_CHEDULING
地球化学,_GEOCHEMISTRY
微生物学,_MICROBIOLOGY
系统科学,_SYSTEMS_SCIENCE
流体力学,_FLUID_MECHANICS
红边竹蕉,_DRACAENA_MARGINATA
命名空间,_NAMESPACE
上限溢位,_OVERFLOW
东方沙枣,_ORIENTALLS
原始类型,_PRIMITIVE_TYPE
化学工程,_CHEMICAL_ENGINEERING
地质工程,_GEOLOGICAL_ENGINEERING
制糖工程,_SUGAR_ENGINEERING
调度程序,_SCHEDULER
森林工程,_FORESTRY_ENGINEERING
食品科学,_FOOD_SCIENCE
设值函数,_SETTER
模式匹配,_TRING_ATCHING
常春金盘,_FATSHEDERA_LIZEI
妇产科学,_OBSTETRICS_AND_GYNECOLOGY
口腔医学,_STOMATOLOGY
唯一索引,_UNIQUE_INDEX
东方草莓,_ORIENTALIS
美国白蜡,_AMERICANA
竞技舞​,_COMPETITION_DANCING
每步拍子,_STEP_IN_TIMING
外侧舞姿,_OUTSIDE_PARTNER
春金缕梅,_VERNALIS
反身动作,_CONTRARY_BODY_MOVEMENT
小黄花菜,_MINOR
截步退行,_CHECK_BACK
橙色扶桑,_AURANTIACUS
外侧换步,_OUTSIDE_CHANGE
高大沙棘,_PROCERA
定期清查,_PERIODIC_CHECKING_METHOD
民主党派,_DEMOCRATIC_PARTIES
有关系的,_RELATIVE
棍棒椰子,_VERCHAFFELTII
备查账簿,_MEMORANDVN
波缘冬青,_ILEX_CRENATA
转回分录,_REVERSING_ENTRY
黄花角蒿,_INCARVILLEA_LUTA
沙丁胺醇,_SALBUTAMOL
附加账户,_ADJUNCT_ACCOUNTS
人民团体,_PEOPLES_ORGANIZATIONS
全面清查,_COMPLETE_CHECK
收款凭证,_RECEIPT_VOUCHER
卡比马唑,_CARBIMAZOLE
云南黄馨,_JASMINUM_MESNYI
普尼拉明,_PRENYLAMINE
会计科目,_ACCOUNT_TITLE
结算账户,_SETTLEMENT_ACCOUNTS
相当大的,_CONSIDERABLE
甲丙氨酯,_MEPROBAMATE_MILTOWN
有技能的,_SKILLED
或有负债,_CONTINGENT_LIABILITY
智利钟花,_LAPAGERIA_ROSEA
狭叶月桂,_ANGUSTIFOLIA
流动负债,_CURRENT_LIABILITIES
氨苄西林,_AMPICILLIN
狭叶杜香,_ANGUSTUM
投资收益,_INVESTMENT_INCOME
头孢他定,_CEFTAZIDIME
可信赖的,_RELIABLE
利润分配,_PROFIT_DISTRIBUTION
环丙沙星,_CIPROFLOXACIN
夏雪滴花,_AESTIVUM
非本质的,_ACCIDENTAL
应付工资,_WAGES_PAYABLE
短期投资,_TEMPORARY_INVESTMENT
铁炮百合,_LONGIFLORUM
代表性的,_TYPICAL
资本公积,_CAPITAL_RESERVES
卡那霉素,_KANAMYCIN
财务费用,_FINANCING_EXPENSES
投资中心,_INVESTMENT_CENTER
矮山梗菜,_NANA
丢脸的人,_DISHONOUR
枸橼酸钠,_SODIUM_CITRATE
贯叶忍冬,_SEMPERVIRENS
换算损益,_TRANSLATION_GAINS_OR_LOSSES
阿布扎比,_ABU_DHABI
亚历山大,_ALEXANDRIA
劳务因素,_SERVICE_FACTOR
控投公司,_HOLDING_COMPANY
巴塞罗那,_BARCELONA
湖北海棠,_MALUS_HUPEHENSIS
融资租赁,_FINANCING_LEASE
毕尔巴鄂,_BILBAO
税务会计,_TAX_ACCOUNTING
分支机构,_BRANCH
外币承诺,_FOREIGN_CURRENCY_COMMITMENT
龙须海棠,_MESEMBRYANTHEMUM_SPECTABILIS
达米埃塔,_DAMIETTA
法兰西堡,_FORT_DE_FRANCE
蚂蚱腿子,_MYRIPNOIS_DIOICA
中期报告,_INTERIM_REPORTING
综合变动,_GENERAL_CHANGE
紫点幌菊,_MACULATA
固定成本,_FIXED_COST
哈密尔顿,_HAMILTON
胡志明市,_HO_CHI_MING_CITY
定额成本,_NORM_COST
决策成本,_COST_OF_DECISION_MAKING
甜香罗勒,_SUAVE
停工损失,_LOSS_ON_WORK_STOPPAGE
拉罗歇尔,_LA_ROUCHELLE
账面成本,_COST_OF_BOOK_VALUE
拉塔基亚,_LATTAJUA
利伯维尔,_LIBREVILLE
成本归集,_COST_ACCUMULATION
伦敦德里,_LONDONDERRY
成本报告,_COSTING_REPORT
产品成本,_PRODUCT_COST
报告成本,_REPORTING_COST
东方罂粟,_ORIENTALE
股利转移,_DIVIDEND_KEMITTANCES
紫斑兜兰,_PURPURATUM
期权市场,_OPTION_MARKET
二级市场,_SECURITY_SECONDARY_MARKET
黄鸡蛋果,_QUADRANGULARIS
财务控制,_FINANCIAL_CONTROL
彩叶红桑,_MUSICA
财务分析,_FINANCIAL_ANALYSIS
实现原则,_REALIZATION_PRINCIPLE
日本乌头,_JAPONICUM
会计预测,_ACCOUNTING_FOR_ECASTING
会计确认,_ACCOUNTING_RECOGNITION
普列茅斯,_PLYMOUTH
会计记录,_ACCOUNTING_RECORDS
会计等式,_ACCOUNTING_EQUATION
剂量用量,_DOSE
使从事于,_ENGAGE
粗鲁的人,_BEAR
疑虑怀疑,_DOUBT
反响重复,_ECHO
螺丝拧紧,_SCREW
一段时间,_SPAN
冲击波炸,_BLAST
裂纹爆裂,_CRACK
目标结束,_END
内科医生,_PHYSICIAN
自豪自夸,_PRIDE
职业交易,_TRADE
篮球运动,_BASKETBALL
交流交换,_EXCHANGE
靶子瞄准,_TRGET
不愿听的,_DEAF
借口假装,_PRETEND
月桂树叶,_BAYLEAF
类别整理,_SORT
提高进展,_ADVANCE
下来下降,_DESCEND
集体寝室,_DORMITORY
信任相信,_TRUST
组合索引,_COMPOSITE_INDEX
加宽变宽,_WIDEN
只读内存,_RAM
异常处理,_EXCEPTION_HANDLING
继承体系,_HIERARCHY
空中小姐,_STEWARDESS
继承机制,_INHERITANCE
因而疲乏,_BE_TIRED_FROM
托管对象,_MANAGED_OBJECT
经济学家,_ECONOMIST
地质学家,_GEOLOGIST
生存空间,_SCOPE
感谢上帝,_RENDERTHNKSTOGOD
表示敬意,_OBEDIENCE
开始开始,_BEGIN
自夸吹嘘,_BOAST
加拿大的,_CANADIAN
数据日期,_DATA_DATE
不管不顾,_DESPITE
对话对白,_DIALOG
小里肌肉,_PORKFILLET
大块牛排,_RUMPSTEAK
头肩肉筋,_CHUCKSTEAK
步速踱步,_PACE
暂时眼下,_FOR_THE_TIME_BEING
地区区域,_DISTRICT
国际象棋,_CHESS
超过限度,_GO_BEYOND_THE_LIMIT
翡翠椒草,_MAGNOLIAEFOLIA
几乎没有,_HARDLY_ANY
点烫药水,_SETTING_LOTION
堇花牵牛,_LIMBATA
柔毛石楠,_VILLOSA
阿月浑子,_VERA
惠普公司,_HEWLETTPACKARD
影响评估,_IMPACT_EVALUATION
信息时代,_INFORMATION_AGE
感知整合,_INTEGRATION_OF_PERCEPTION
斑叶稠李,_MAACKII
湖北樱花,_HUPEHENSIS
芮德枫杨,_REHDERANA
长叶毛茛,_LINGUA
细分市场,_MARKET_SEGMENT
营销渠道,_MARKETING_CHANNEL
白鹤灵芝,_RHINACANTHUS_NASUTUS
万豪酒店,_MARRIOTT_HOTEL
格鲁吉亚,_GEORGIA
危地马拉,_GUATEMALA
利比里亚,_LIBERIA
北美圆柏,_VIRGINIANA
机会识别,_OPPORTUNITY_IDENTIFICATION
巴基斯坦,_PAKISTAN
支付条款,_PAYMENT_TERMS
黄脉爵床,_SANCHEZIA_SPECIOSA
圣赫勒拿,_SAINT_HELENA
绩效目标,_PERFORMANCE_OBJECTIVE
医药行业,_PHARMACEUTICALS_INDUSTRY
维奇赤竹,_SASA_VEITCHII
委内瑞拉,_VENEZUELA
价格促销,_PRICE_PROMOTION
北京大学,_PEKING_UNIVERSITY
定价调整,_PRICING_ADJUSTMENTS
中山大学,_ZHONGSHAN_UNIVERSITY
中南大学,_CENTRAL_SOUTH_UNIVERSITY
产品类别,_PRODUCT_CATEGORY
产品定位,_PRODUCT_POSITIONING
密麦瓶草,_COMPACTA
郑州大学,_ZHENGZHOU_UNIVERSITY
采购经理,_PURCHASING_MANAGER
苏州大学,_SUZHOU_UNIVERSITY
星花鹿药,_SMILACINA_STELLATA
数量折扣,_QUANTITY_DISCOUNT
江南大学,_SOUTHERN_YANGTZE_UNIVERSITY
广西大学,_GUANGXI_UNIVERSITY
湖北花楸,_HUPEHENSIS
认知测试,_RECOGNITION_TESTS
湘潭大学,_XIANGTAN_UNIVERSITY
天目紫茎,_STEWARTIA_GEMMATA
反向工程,_REVERSE_ENGINEERING
火焰罂粟,_STYLOMECON_HETEROPHYLLA
销售预测,_SALES_FORCASTING
海南大学,_HAINAN_UNIVERSITY
价格下降,_PRICE_REDUCTION
创意筛选,_SCREENING_OF_IDEAS
济南大学,_JINAN_UNIVERSITY
秋唐松草,_MINUS_ELATUM
服务质量,_SERVICE_QUALITY
长江大学,_CHANGJIANG_UNIVERSITY
美洲决明,_THERMOPSIS_CAROLINIANA
动荡阶段,_SHAKEOUT_STAGE
三峡大学,_CHINA_THREE_GORGES_UNIVERSITY
欧百里香,_THYMUS_SERPYLLUM
短期记忆,_SHORTTERM_MEMORY
紫花凤梨,_CYANEA
日常用品,_STAPLE_GOODS
直接再购,_STRAIGHT_REBUY
战略目标,_STRATEGIC_INTENT
把看成是,_TAKEFOR
春黄熊菊,_URSINIA_ANETHOIDES
赛罗卡因,_LIDOCAINE_XYLOCAINE
沈阳大学,_SHENYANG_UNIVERSITY
嘉兴学院,_JIAXING_UNIVERSITY
时间框架,_TIME_FRAME
贸易公司,_TRADING_COMPANIES
情况恶化,_BE_WORSE_OFF
人员流动,_TURNOVER
英联邦的,_BRITISH
有权威的,_POWERFUL
许昌学院,_XUCHANG_INSTITUTE
批发趋势,_WHOLESALING_TRENDS
宜宾学院,_YIBING_COLLEGE
潍坊学院,_WEIFANG_COLLEGE
预借提单,_ADVANCED_BILL_OF_LADING
渐渐减少,_WEAR_OFF
急件传送,_AIR_EXPRESS
宜春学院,_YICHUN_UNIVERSITY
来件装配,_ASSEMBLING_WITH_CUSTOMER_PARTS
美托洛尔,_METOPROLOL
易货贸易,_BARTER_TRADE
匆匆离开,_TAKE_OFF
阉割的马,_GELDING
包装证明,_PACKING_SPECIFICATION
迄今为止,_SO_FAR
指示提单,_ORDER_BILL_OF_LADING_ORDER_BL
阿司匹林,_ASPIRIN_ACETYLSALICYLIC
委付通知,_NOTICE_OF_ABANDONMENT
注册净吨,_NET_REGISTERED_TONNAGENRT
流通证券,_NEGOTIABLE_CALAMITY
支付货币,_MONEY_OF_PAYMENT
万事达卡,_MASTER_CARD
班轮运输,_LINER_SHIPPING
确实的确,_IN_FAITH
小无须鳕,_WHITING
精心做出,_WORK_UP
租赁贸易,_LEASE_TRADE
马到成功,_ACHIEVE_IMMEDIATE_VICTORY_WIN
古文字学,_STUDIES_OF_HISTORICAL
实事求是,_SEEK_TRUTH_FROM_FACTS_BE
唯利是图,_DRAW_WATER_TO_ONES_MILL
仔细考虑,_TURN_OVER
先入为主,_FIRST_IMPRESSIONS_ARE_FIRMLY
扑热息痛,_ACETAMINOPHEN_PARACETAMOL
在使用着,_IN_USE
劳动法学,_SCIENCE_OF_LABOUR_LAW_AND
恶劣气候,_HEAVY_WEATHER
照看留意,_KEEP_AN_EYE_ON
商品品质,_GOODS_QUALITY
保持镇静,_KEEP_ONE_HEAD
总代理人,_GENERAL_AGENT
开始从事,_TAKE_UP_ON
意外事故,_FORTUITOUS_ACCIDENTS
资金单据,_FINANCIAL_DOCUMENTS
传热病学,_INTERNAL_MEDICINE_INCLUDING
灰心泄气,_LOSE_HEART
独占许可,_EXCLUSIVE_LICENSE
把记下来,_MAKE_A_NOTE_OF
轻视藐视,_MAKE_LIGHT_OF
竞争演变,_COMPETITIVE_SUPPLYSIDE
付款交单,_DOCUMENTARY_AGAINST_PAYMENTDP
详细发票,_DETAILED_INVOICE
偶尔碰见,_MEET_UP_WITH
光船租船,_DEMISE_CHARTER
离去走掉,_MOVE_OFF
压制抑制,_HOLD_DOWN
总载重量,_DEAD_WEIGHT
无论不管,_NO_MATTER
保持平衡,_KEEP_ONE_BALANCE
顾问咨询,_CONSULTING_SERVICE
允许执照,_PERMIT
补偿贸易,_COMPENSATION_TRADE
剌穿穿入,_PIERCE
商业汇票,_COMMERCIAL_BILL
色彩样品,_COLOUR_SAMPLE
清洁提单,_CLEAN_BILL_OF_LADING_CLEAN_BL
以为条件,_PROVIDED
保付支票,_CERTIFIED_CHEQUE
交易磋商,_BUSINESS_NEGOTIATION
交出投降,_SURRENDER
违反要件,_BREACH_OF_CONDITION
运输运输,_TRANSPORT
财务会计,_FINANCIAL_ACCOUNTING
罗斯托克,_ROSTOCK
预拨款项,_APPROPRIATION_IN_ADVANCE
丹绒不碌,_TANDJUNGPRIOK
经营支出,_ORERATING_EXPENSE
特拉维夫,_TEL_AVIV
